comparison_id,run_id,behavior_name,technique_id,wazuh_rule_id,detection_id,detection_title,total_score,static_verdict,wazuh_fired,sigma_matched,behavioral_verdict,tuning_notes,compared_at
109,RUN-T1098-20260727-223126,Malicious account password reset,T1098,,372,Vulnerable Driver Load,0.0,NO_CONTENT_OVERLAP,0,0,NO_DETECTION_IN_EITHER,"Re-checked 2026-07-27T22:31:28.728392+00:00 against current Wazuh catalog and Sigma detection 372. wazuh_fired=False, sigma_matched=False.",2026-07-27T22:31:28.728543+00:00
107,RUN-T1136-002-20260727-222927,Suspicious privileged user creation,T1136.002,60109,104,Weak Encryption Enabled and Kerberoast,0.2333,NO_CONTENT_OVERLAP,1,0,WAZUH_ONLY,"Re-checked 2026-07-27T22:29:28.624836+00:00 against current Wazuh catalog and Sigma detection 104. wazuh_fired=True, sigma_matched=False.",2026-07-27T22:29:28.624889+00:00
105,RUN-T1136-002-20260727-222915,Suspicious privileged user creation,T1136.002,60109,104,Weak Encryption Enabled and Kerberoast,0.2333,NO_CONTENT_OVERLAP,1,0,WAZUH_ONLY,"Re-checked 2026-07-27T22:29:17.320712+00:00 against current Wazuh catalog and Sigma detection 104. wazuh_fired=True, sigma_matched=False.",2026-07-27T22:29:17.321733+00:00
103,RUN-T1098-20260727-214158,Domain Admins membership modification,T1098,60159,221,A Member Was Added to a Security-Enabled Global Group,0.24,NO_CONTENT_OVERLAP,1,1,VERIFIED_OVERLAP,"Re-checked 2026-07-27T21:52:47.597474+00:00 against current Wazuh catalog and Sigma detection 221. wazuh_fired=True, sigma_matched=True.",2026-07-27T21:52:47.597529+00:00
101,RUN-T1053-005-20260727-215110,Scheduled task creation on a domain system,T1053.005,60228,1787,Scheduled Task Creation Via Schtasks.EXE,0.2,NO_CONTENT_OVERLAP,1,0,WAZUH_ONLY,"Re-checked 2026-07-27T21:52:12.466030+00:00 against current Wazuh catalog and Sigma detection 1787. wazuh_fired=True, sigma_matched=False.",2026-07-27T21:52:12.466078+00:00
92,RUN-T1087-002-20260727-213016,Kerberos user enumeration,T1087.002,,101,Potential AD User Enumeration From Non-Machine Account,0.0,NO_CONTENT_OVERLAP,0,0,NO_DETECTION_IN_EITHER,NO_DETECTION_IN_EITHER. Telemetry present but neither Wazuh nor the candidate Sigma detection matched the real event.,2026-07-27T21:38:46.159716+00:00
91,RUN-T1569-002-20260723-000852,PsExec service execution,T1569.002,92650,293,PsExec Service Installation,0.2417,NO_CONTENT_OVERLAP,1,1,VERIFIED_OVERLAP,"Re-checked 2026-07-27T16:03:24.529481+00:00 against current Wazuh catalog and Sigma detection 293. wazuh_fired=True, sigma_matched=True.",2026-07-27T16:03:24.529559+00:00
90,RUN-T1558-004-20260722-225113,AS-REP roasting validation,T1558.004,,142,Potential AS-REP Roasting via Kerberos TGT Requests,0.0,NO_CONTENT_OVERLAP,0,1,SIGMA_ONLY,"Re-checked 2026-07-27T16:03:24.513235+00:00 against current Wazuh catalog and Sigma detection 142. wazuh_fired=False, sigma_matched=True.",2026-07-27T16:03:24.513304+00:00
89,RUN-T1558-003-20260722-185353,Kerberoasting service ticket request,T1558.003,,196,Suspicious Kerberos RC4 Ticket Encryption,0.0,NO_CONTENT_OVERLAP,0,1,SIGMA_ONLY,"Re-checked 2026-07-27T16:03:24.506347+00:00 against current Wazuh catalog and Sigma detection 196. wazuh_fired=False, sigma_matched=True. Generic co-fire: Wazuh rule 60107 did not key on EventID 4769 and static overlap 0.229 < 0.4; not counted as a Wazuh detection.",2026-07-27T16:03:24.506396+00:00
88,RUN-T1110-003-20260722-234809,LDAP password spray,T1110.003,60122,179,Account Tampering - Suspicious Failed Logon Reasons,0.2536,NO_CONTENT_OVERLAP,1,0,WAZUH_ONLY,"Re-checked 2026-07-27T16:03:24.493343+00:00 against current Wazuh catalog and Sigma detection 179. wazuh_fired=True, sigma_matched=False.",2026-07-27T16:03:24.493435+00:00
87,RUN-T1110-003-20260722-234003,SMB password spray,T1110.003,60122,179,Account Tampering - Suspicious Failed Logon Reasons,0.2536,NO_CONTENT_OVERLAP,1,0,WAZUH_ONLY,"Re-checked 2026-07-27T16:03:24.472810+00:00 against current Wazuh catalog and Sigma detection 179. wazuh_fired=True, sigma_matched=False.",2026-07-27T16:03:24.472981+00:00
86,RUN-T1059-001-20260721-140107,Encoded PowerShell execution,T1059.001,92057,1475,Suspicious Encoded PowerShell Command Line,0.4,PARTIAL_OVERLAP,1,1,VERIFIED_OVERLAP,"Re-checked 2026-07-27T16:03:24.449176+00:00 against current Wazuh catalog and Sigma detection 1475. wazuh_fired=True, sigma_matched=True.",2026-07-27T16:03:24.449235+00:00
